timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1556011383103;2113;Request_Route_4;200;OK;OTP Thread Group 1-12;text;true;;33408;363;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.52415927884915%2C13.73291015625&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2112;0;0
1556011382780;2516;Request_Route_4;200;OK;OTP Thread Group 1-13;text;true;;33409;363;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.52415927884915%2C13.73291015625&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2515;0;3
1556011382922;2499;Request_Route_5;200;OK;OTP Thread Group 1-5;text;true;;35300;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2498;0;4
1556011383297;2175;Request_Route_5;200;OK;OTP Thread Group 1-9;text;true;;35299;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2173;0;3
1556011383684;2028;Request_Route_5;200;OK;OTP Thread Group 1-6;text;true;;35300;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2027;0;4
1556011383953;2178;Request_Route_4;200;OK;OTP Thread Group 1-14;text;true;;33409;363;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.52415927884915%2C13.73291015625&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2177;0;4
1556011383903;2789;Request_Route_20;200;OK;OTP Thread Group 1-15;text;true;;26731;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.54546056358299%2C13.234405517578125&toPlace=52.52207036136366%2C13.555755615234375&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2788;0;4
1556011384280;2416;Request_Route_6;200;OK;OTP Thread Group 1-1;text;true;;44621;365;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.43633919389028%2C13.374481201171875&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2371;0;3
1556011384621;2140;Request_Route_5;200;OK;OTP Thread Group 1-7;text;true;;35299;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2138;0;0
1556011384322;2482;Request_Route_4;200;OK;OTP Thread Group 1-4;text;true;;33408;363;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.52415927884915%2C13.73291015625&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2481;0;4
1556011384713;2344;Request_Route_5;200;OK;OTP Thread Group 1-10;text;true;;35300;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2343;0;4
1556011384522;2543;Request_Route_5;200;OK;OTP Thread Group 1-2;text;true;;35300;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2542;0;4
1556011384419;2755;Request_Route_5;200;OK;OTP Thread Group 1-3;text;true;;35300;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2754;0;4
1556011385217;2529;Request_Route_5;200;OK;OTP Thread Group 1-12;text;true;;35299;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.41289089264018%2C13.76106262207031&toPlace=52.507027222951635%2C13.386154174804688&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2528;0;4
